name,item_id,original_entity,linked_entity,name_linked_entity
Kolya (1996),242,Q1141186,Q130232,drama film
Kolya (1996),242,Q1141186,Q157443,comedy film
Kolya (1996),242,Q1141186,Q100977416,Věra Uzelacová
Kolya (1996),242,Q1141186,Q104626218,Luboš Bíža
Kolya (1996),242,Q1141186,Q10819887,Andrei Chalimon
Kolya (1996),242,Q1141186,Q112415103,Petr Šplíchal
Kolya (1996),242,Q1141186,Q11775055,René Přibil
Kolya (1996),242,Q1141186,Q12034618,Lída Rakušanová
Kolya (1996),242,Q1141186,Q12035276,Marek Daniel
Kolya (1996),242,Q1141186,Q12043246,Otmar Brancuzský
Kolya (1996),242,Q1141186,Q12044274,Pavel Taussig
Kolya (1996),242,Q1141186,Q12049083,Regina Rázlová
Kolya (1996),242,Q1141186,Q13434439,Jan Kašpar
Kolya (1996),242,Q1141186,Q1357886,Jiří Sovák
Kolya (1996),242,Q1141186,Q158017,Rafael Kubelík
Kolya (1996),242,Q1141186,Q1687122,Nela Boudová
Kolya (1996),242,Q1141186,Q169065,Zdeněk Svěrák
Kolya (1996),242,Q1141186,Q1800016,Ladislav Smoljak
Kolya (1996),242,Q1141186,Q19602538,Pavel Pecháček
Kolya (1996),242,Q1141186,Q20860071,Jana Altmannová
Kolya (1996),242,Q1141186,Q254289,Libuše Šafránková
Kolya (1996),242,Q1141186,Q290996,Stella Zázvorková
Kolya (1996),242,Q1141186,Q3296885,Pavel Vondruška
Kolya (1996),242,Q1141186,Q3341569,Mykola Hejko
Kolya (1996),242,Q1141186,Q3505635,Eva Klepáčová
Kolya (1996),242,Q1141186,Q3563221,Ondřej Vetchý
Kolya (1996),242,Q1141186,Q3858922,Miroslav Táborský
Kolya (1996),242,Q1141186,Q4081017,Irina Bezrukova
Kolya (1996),242,Q1141186,Q4278011,Lilian Malkina
Kolya (1996),242,Q1141186,Q440799,Silvia Šuvadová
Kolya (1996),242,Q1141186,Q5448516,Filip Renč
Kolya (1996),242,Q1141186,Q55361547,Emma Černá
Kolya (1996),242,Q1141186,Q56006064,Hana Militká
Kolya (1996),242,Q1141186,Q6369300,Karel Heřmánek
Kolya (1996),242,Q1141186,Q6873303,Miriam Chytilová
Kolya (1996),242,Q1141186,Q7178683,Petra Špalková
Kolya (1996),242,Q1141186,Q7542461,Slávka Budínová
Kolya (1996),242,Q1141186,Q7922503,Veronika Freimanová
Kolya (1996),242,Q1141186,Q95391821,Netta Deborská
Kolya (1996),242,Q1141186,Q95473240,Magdalena Šebestová
Kolya (1996),242,Q1141186,Q95743306,Lena Birková
Kolya (1996),242,Q1141186,Q16830108,Eric Abraham
Kolya (1996),242,Q1141186,Q504463,Jan Svěrák
Kolya (1996),242,Q1141186,Q105304,Academy Award for Best International Feature Film
Kolya (1996),242,Q1141186,Q1402316,Czech Lion for Best Film
Kolya (1996),242,Q1141186,Q387380,Golden Globe Award for Best Non-English Language Film
Kolya (1996),242,Q1141186,Q18026271,Trilogy about maturation
Kolya (1996),242,Q1141186,Q11424,film
Kolya (1996),242,Q1141186,Q504463,Jan Svěrák
Kolya (1996),242,Q1141186,Q12044274,Pavel Taussig
Kolya (1996),242,Q1141186,Q169065,Zdeněk Svěrák
Kolya (1996),242,Q1141186,Q2023844,Ondřej Soukup
Kolya (1996),242,Q1141186,Q10779415,Alois Fišárek
Kolya (1996),242,Q1141186,Q2275563,9th European Film Awards
Kolya (1996),242,Q1141186,Q105304,Academy Award for Best International Feature Film
Kolya (1996),242,Q1141186,Q125506406,International Submission to the Academy Awards
Kolya (1996),242,Q1141186,Q2354778,Satellite Award for Best Foreign Language Film
Kolya (1996),242,Q1141186,Q2925687,BAFTA Award for Best Film Not in the English Language
Kolya (1996),242,Q1141186,Q777921,European Film Award for Best Film
Kolya (1996),242,Q1141186,Q225365,Kola
Kolya (1996),242,Q1141186,Q20644795,FSK 6
Kolya (1996),242,Q1141186,Q10397024,1.66:1
Kolya (1996),242,Q1141186,Q2426,1988
Kolya (1996),242,Q1141186,Q66761061,Katarína Hollá
Kolya (1996),242,Q1141186,Q108147513,Miloš J. Kohout
Kolya (1996),242,Q1141186,Q18053468,Biograf Jan Svěrák
Kolya (1996),242,Q1141186,Q78158192,Portobello Pictures
Kolya (1996),242,Q1141186,Q23817729,no age restriction
Kolya (1996),242,Q1141186,Q11909497,Vladimír Smutný
Kolya (1996),242,Q1141186,Q9056,Czech
Kolya (1996),242,Q1141186,Q54820071,digital download
Kolya (1996),242,Q1141186,Q723685,video on demand
Kolya (1996),242,Q1141186,Q22006653,color
Kolya (1996),242,Q1141186,Q142,France
Kolya (1996),242,Q1141186,Q145,United Kingdom
Kolya (1996),242,Q1141186,Q213,Czech Republic
Kolya (1996),242,Q1141186,Q105913295,reverse Mako Mori test
Kolya (1996),242,Q1141186,Q85783379,Mako Mori test
Kolya (1996),242,Q1141186,Q29888202,Zbyněk Mikulík
Kolya (1996),242,Q1141186,Q88494373,Pavel Rejholec
Kolya (1996),242,Q1141186,Q95818370,Ivo Špalj
Kolya (1996),242,Q1141186,Q50423863,copyrighted
Kolya (1996),242,Q1141186,Q9589,iTunes
Kolya (1996),242,Q1141186,Q1085,Prague
Kolya (1996),242,Q1141186,Q12056409,Sterneggovský palác
Kolya (1996),242,Q1141186,Q1982876,Anděl
Kolya (1996),242,Q1141186,Q27898372,Crematorium in Nymburk
Kolya (1996),242,Q1141186,Q330717,Úštěk
Kolya (1996),242,Q1141186,Q3809307,Libeň Castle
Kolya (1996),242,Q1141186,Q756581,Františkovy Lázně
Kolya (1996),242,Q1141186,Q1085,Prague
Kolya (1996),242,Q1141186,Q12256,Petřín Lookout Tower
Kolya (1996),242,Q1141186,Q1189309,sham marriage
Kolya (1996),242,Q1141186,Q1217379,parenting
Kolya (1996),242,Q1141186,Q182817,Velvet Revolution
Kolya (1996),242,Q1141186,Q1899269,political repression
Kolya (1996),242,Q1141186,Q1141186,Kolya
